,0
0,40.486477
1,40.809757
2,41.166676
3,41.449905
4,41.744663
5,42.03124
6,42.305653
7,42.524754
8,42.748417
9,42.95134
10,43.0961
11,43.281452
12,43.43289
13,43.567165
14,43.63404
15,43.652996
16,43.75851
17,43.762463
18,43.726875
19,43.701813
20,43.63801
21,43.620697
22,43.51247
23,43.38438
24,43.298496
25,43.23404
26,43.107254
27,43.013508
28,42.91311
29,42.780136
30,42.62742
31,42.467777
32,42.336143
33,42.185455
34,42.047894
35,41.883255
36,41.70052
37,41.574818
38,41.43985
39,41.258766
40,41.11431
41,40.941685
42,40.819767
43,40.625328
44,40.42857
45,40.298542
46,40.082577
47,39.880203
48,39.72834
49,39.555706
50,39.455307
51,39.283432
52,39.14644
53,38.94223
54,38.85462
55,38.69135
56,38.559032
57,38.43297
58,38.350655
59,38.20245
60,38.075672
61,38.007362
62,37.923923
63,37.84581
64,37.806614
65,37.74304
66,37.65655
67,37.567585
68,37.511738
69,37.45842
70,37.337563
71,37.278847
72,37.14716
73,37.135033
74,37.01173
75,36.91612
76,36.83478
77,36.765583
78,36.708042
79,36.57842
80,36.566784
81,36.52418
82,36.486042
83,36.504612
84,36.54413
85,36.609722
86,36.64612
87,36.783092
88,36.89739
89,37.029877
90,37.159637
91,37.320763
92,37.51807
93,37.738266
94,37.922676
95,38.22477
